ID;Fecha inicio;Fecha fin;Transecto/Parcela;Observador/a 1;Observador/a 2;Viento;Temperatura;Nubes;Observaciones;longitud
1;2013-05-03 10:37:00;2013-05-03 10:44:00;Sabinas;Javier Martín Jaramillo;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;75-100% de nubosidad;0% sol y 100% nubes;
2;2008-07-09 11:00:00;2008-07-09 12:45:00;Laguna Seca;Irene Ballesta Artero;José Miguel Barea Azcón (jmbarea);Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
3;2008-07-08 11:45:00;2008-07-08 13:30:00;Borreguiles San Juan;Irene Ballesta Artero;José Miguel Barea Azcón (jmbarea);Fuerza 2 en la escala Beaufort: 6-11 km/h;;0% de nubosidad;0;
4;2008-07-08 18:20:00;2008-07-08 19:30:00;Loma de Papeles Alto;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
5;2015-08-13 13:00:00;2015-08-13 13:15:00;Carihuela;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 3 en la escala Beaufort: 12-19 km/h;;0% de nubosidad;100% sol y 0% nubes;
6;2008-07-17 10:10:00;2008-07-17 12:45:00;Borreguiles San Juan;José Miguel Barea Azcón (jmbarea);Isacio Hernandez;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
7;2008-07-17 10:40:00;2008-07-17 11:20:00;Laguna Seca;Irene Ballesta Artero;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0-25% de nubosidad;0;
8;2008-07-18 10:30:00;2008-07-18 12:45:00;Altas cumbres;Irene Ballesta Artero;José Miguel Barea Azcón (jmbarea);Fuerza 2 en la escala Beaufort: 6-11 km/h;;0% de nubosidad;0;
9;2008-07-21 10:15:00;2008-07-21 11:30:00;Borreguiles San Juan;Irene Ballesta Artero;Desconocido;Fuerza 3 en la escala Beaufort: 12-19 km/h;;0% de nubosidad;0;
10;2008-07-22 11:15:00;2008-07-22 12:30:00;Laguna Seca;Irene Ballesta Artero;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
11;2008-07-23 11:00:00;2008-07-23 12:00:00;Loma de Papeles Alto;José Miguel Barea Azcón (jmbarea);Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
12;2008-07-25 10:12:00;2008-07-25 11:04:00;Altas cumbres;Irene Ballesta Artero;Javier Martín Jaramillo;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0% de nubosidad;0;
13;2008-07-28 10:25:00;2008-07-28 11:25:00;Borreguiles San Juan;Irene Ballesta Artero;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
14;2008-07-30 11:30:00;2008-07-30 12:19:59;Altas cumbres;Irene Ballesta Artero;Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0% de nubosidad;0;
15;2008-07-31 10:45:00;2008-07-31 11:45:00;Laguna Seca;Irene Ballesta Artero;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
16;2008-07-31 10:30:00;2008-07-31 12:00:00;Loma de Papeles Alto;José Miguel Barea Azcón (jmbarea);Carmen Pulido Poyal;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
17;2008-08-05 10:40:00;2008-08-05 11:40:00;Laguna Seca;Irene Ballesta Artero;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
18;2008-08-06 10:30:00;2008-08-06 11:30:00;Altas cumbres;Irene Ballesta Artero;Carmen Pulido Poyal;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0-25% de nubosidad;0;
19;2008-08-07 10:20:00;2008-08-07 11:10:00;Borreguiles San Juan;Irene Ballesta Artero;Desconocido;Fuerza 3 en la escala Beaufort: 12-19 km/h;;0-25% de nubosidad;0;
20;2008-08-08 09:45:00;2008-08-08 10:45:00;Loma de Papeles Alto;Irene Ballesta Artero;José Miguel Barea Azcón (jmbarea);Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
21;2008-08-13 12:05:00;2008-08-13 12:45:00;Altas cumbres;Irene Ballesta Artero;Desconocido;Fuerza 3 en la escala Beaufort: 12-19 km/h;;0% de nubosidad;0;
22;2008-08-14 11:40:00;2008-08-14 12:40:00;Laguna Seca;Irene Ballesta Artero;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
23;2008-08-18 10:05:00;2008-08-18 11:10:00;Borreguiles San Juan;Irene Ballesta Artero;Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0% de nubosidad;0;
24;2008-08-19 10:25:00;2008-08-19 11:30:00;Loma de Papeles Alto;Irene Ballesta Artero;Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;25-50% de nubosidad;0;
25;2009-06-17 10:40:00;2009-06-17 11:40:00;Laguna Seca;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
26;2009-06-18 10:00:00;2009-06-18 11:00:00;Loma de Papeles Alto;Irene Ballesta Artero;Rogelio López Sanjuan (rogerlosan);Fuerza 1 en la escala Beaufort: 2-5 km/h;;0-25% de nubosidad;0;
27;2009-06-24 10:40:00;2009-06-24 11:55:00;Loma de Papeles Alto;Irene Ballesta Artero;Rogelio López Sanjuan (rogerlosan);Fuerza 2 en la escala Beaufort: 6-11 km/h;;0-25% de nubosidad;0;
28;2009-06-30 10:40:00;2009-06-30 11:35:00;Loma de Papeles Alto;Javier Martín Jaramillo;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
29;2009-07-10 11:20:00;2009-07-10 12:15:00;Loma de Papeles Alto;Irene Ballesta Artero;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
30;2009-07-17 10:00:00;2009-07-17 11:00:00;Loma de Papeles Alto;Irene Ballesta Artero;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
31;2009-07-31 11:20:00;2009-07-31 12:19:59;Loma de Papeles Alto;Irene Ballesta Artero;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
32;2009-07-10 11:00:00;2009-07-10 11:54:00;Altas cumbres;Javier Martín Jaramillo;Rogelio López Sanjuan (rogerlosan);Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
33;2009-07-16 11:00:00;2009-07-16 11:45:00;Altas cumbres;Javier Martín Jaramillo;Rogelio López Sanjuan (rogerlosan);Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
34;2009-07-30 10:20:00;2009-07-30 11:20:00;Altas cumbres;Irene Ballesta Artero;Elena Ballesteros Duperón;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
35;2009-06-19 10:00:00;2009-06-19 11:00:00;Borreguiles San Juan;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0-25% de nubosidad;0;
36;2009-06-24 11:20:00;2009-06-24 12:19:59;Borreguiles San Juan;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
37;2009-07-01 10:20:00;2009-07-01 11:43:00;Borreguiles San Juan;Javier Martín Jaramillo;Rogelio López Sanjuan (rogerlosan);Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
38;2009-07-09 10:20:00;2009-07-09 11:40:00;Borreguiles San Juan;Irene Ballesta Artero;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0-25% de nubosidad;0;
39;2009-07-15 10:30:00;2009-07-15 11:40:00;Borreguiles San Juan;Irene Ballesta Artero;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
40;2009-07-20 00:00:00;2009-07-20 00:00:00;Borreguiles San Juan;Irene Ballesta Artero;Desconocido;Fuerza 4 en la escala Beaufort: 20-28 km/h;;0% de nubosidad;0;
41;2009-07-27 10:30:00;2009-07-27 11:25:00;Borreguiles San Juan;Irene Ballesta Artero;Desconocido;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0-25% de nubosidad;0;
42;2009-06-25 11:20:00;2009-06-25 12:40:00;Laguna Seca;Irene Ballesta Artero;Andrés López Martínez;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
43;2009-06-29 10:20:00;2009-06-29 12:30:00;Laguna Seca;Javier Martín Jaramillo;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
44;2009-07-06 10:05:00;2009-07-06 12:00:00;Laguna Seca;Javier Martín Jaramillo;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0-25% de nubosidad;0;
45;2009-07-16 11:05:00;2009-07-16 12:05:00;Laguna Seca;Irene Ballesta Artero;Desconocido;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
46;2009-07-24 11:30:00;2009-07-24 00:00:00;Laguna Seca;Irene Ballesta Artero;Benito;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
47;2009-07-29 11:30:00;2009-07-29 12:19:59;Laguna Seca;Irene Ballesta Artero;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
48;2009-08-07 11:00:00;2009-08-07 11:40:00;Loma de Papeles Alto;Javier Martín Jaramillo;Desconocido;Fuerza 0 en la escala Beaufort: < 2 km/h;;0% de nubosidad;0;
49;2009-08-10 12:06:00;2009-08-10 13:02:59;Borreguiles San Juan;Javier Martín Jaramillo;Libertad Cobos;Fuerza 2 en la escala Beaufort: 6-11 km/h;;50-75% de nubosidad;0;
50;2009-08-05 10:30:00;2009-08-05 11:30:00;Borreguiles San Juan;Irene Ballesta Artero;Libertad Cobos;Fuerza 2 en la escala Beaufort: 6-11 km/h;;0% de nubosidad;0;
51;2009-08-04 10:30:00;2009-08-04 11:30:00;Laguna Seca;Irene Ballesta Artero;Javier Martín Jaramillo;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
52;2009-08-14 11:20:00;2009-08-14 12:37:00;Laguna Seca;Javier Martín Jaramillo;Libertad Cobos;Fuerza 1 en la escala Beaufort: 2-5 km/h;;0% de nubosidad;0;
