Transecto,Id_transect,Abreviatura,Pp_anu,TP_PEND,FR_MATDE,TP_SU_NO,FR_QUERC,FR_CONIF,TP_RSH_V,HIDRO_ITH,temp_anu,TP_RSD_P,Pp_ver,TP_ES_OE,TP_EXPO,DS_ARBOL,elev
Altas cumbres,16_15,AC,420.95192178830297,24.51724137931,0,24.747126436782,0,0,11.413793103448,6.5668965482164,4.254501056541066,6407.4942528736,40.07143122335137,38.367816091954,26.735632183908,5525.3736263736,3095
Carihuela,16_38,CAR,421.1351143078342,20.5,0,47.444444444444,0,0,12.611111111111,5.8311111132304,3.7075415144088444,5727.6111111111,38.59435515055338,79.944444444444,118.72222222222,5245.8,3202
Cauchiles,16_37,CAU,426.13842167719184,17.923076923077,0,70.692307692308,0,0,12.846153846154,5.9576923297002,5.44651425,4897.9230769231,37.39319255555556,78.615384615385,76.230769230769,3613.7647058824,2814
Borreguiles San Juan,16_16,BOSJ,430.5015990144857,17.542857142857,7.5714285714286,72.185714285714,0,0,13.014285714286,6.8238571235112,6.464064748374851,4774.5571428571,36.91657874363879,43.057142857143,39.328571428571,2515.6428571429,2530
Loma de Papeles Alto,16_17,PA,424.0129027361111,12.028571428571,11.616438356164,22.114285714286,0,14.849315068493,13.4,6.2094285624368,7.703228258772739,6281.6,40.27745956993273,66.128571428571,118,610.7397260274,2416
Campos de Otero,16_24,CO,428.80571749764,20.678571428571,25.380952380952,76.333333333333,4.7619047619048,13.714285714286,13.02380952381,6.5679762022836,7.888050358207766,4446.8214285714,36.29866832100085,40.154761904762,73.357142857143,364.69047619048,2243
Laguna seca,16_14,LS,328.2854121111111,11.328358208955,0,33.149253731343,0,36.739726027397,13.238805970149,6.8098507710357,9.69487013888889,5896.4179104478,39.628971,42.417910447761,61.283582089552,103.24657534247,2283
Sabinas,16_36,SA,412.0447732222222,15.5,2.2,25.875,0,40,13,6.9650000333786,8.17442325,6314.75,33.95252577777777,75.875,36.75,37.5,2180
Loma de Papeles Bajo,16_18,PB,432.076644766866,16.907692307692,11.757142857143,31.061538461538,0.15714285714286,0,12.984615384615,5.7007692263677,8.816146269870705,6207.5692307692,36.30931354690891,62.953846153846,150.83076923077,995.04285714286,2100
Dúrcal,16_45,DU,386.8081197866347,15.515789473684,40.722772277228,64.631578947368,2.1782178217822,5.8811881188119,12.378947368421,7.819052635996,9.582203539907935,5060.4947368421,34.40152074282498,83.757894736842,-9.6210526315789,655.31683168317,1960
Praillos,16_35,PRA,417.4617141009114,17.3,8.4545454545455,77.5,0,30.727272727273,13.3,8.0010000705719,9.721214972222223,4451.7,33.871197666666674,28.3,21.8,88.181818181818,1896
Matas Verdes,16_21,MV,401.14395257547335,18.029850746269,21.072463768116,73.179104477612,0.2463768115942,22.115942028986,13.179104477612,6.7204478178451,9.201626208123376,4603.0298507463,35.16056189745415,54,11.462686567164,322.24637681159,1948
Robledal Dílar,16_23,DI,390.00050971425827,26.808219178082,44.113924050633,72.780821917808,35.898734177215,4.6708860759494,11.904109589041,7.265205487813,10.422612182139481,3942.5616438356,34.41904584182626,72.287671232877,-53.027397260274,168.51898734177001,1717
Catifas,16_34,CAT,420.4683727777778,24.083333333333,7.0714285714286,85.916666666667,5.8571428571429,28.428571428571,13.083333333333,6.3516666889191,10.843328416666667,3604.3333333333,33.81110177777778,36.25,31.25,39,1672
Purche,16_20,PU,401.47993842212594,17.147058823529,18.720588235294,71.088235294118,3.4117647058824,1.2205882352941,12.794117647059,6.2622059092802,12.261074276151966,4574.7058823529,33.93697084058296,44.5,38.117647058824,933.61764705882,1444
Barranco de San Juan,16_33,BSJ,427.9292427929145,25.727272727273,18.214285714286,72.818181818182,20.642857142857,5.7857142857143,11.545454545455,6.8663636554371,11.822352306411531,3825.7272727273,35.771345153483075,23.363636363636,-54.545454545455,46.571428571429,1362
Pitres,16_48,PI,422.02715293537733,13.492753623188,10.714285714286,17.565217391304,26.785714285714,7.7428571428571,12.971014492754,8.011884101923,12.859386337637604,6194.7246376812,36.19828064579943,31.724637681159,1.695652173913,95.214285714286,1404
Fabriquilla,16_32,FA,427.41221433333334,26.363636363636,0,86.545454545455,15.307692307692,3.6923076923077,12.454545454545,6.7754546078769,13.692926194444444,3238.3636363636,33.66358188888889,36.818181818182,-68.636363636364,19.153846153846,978
Turbera,16_49,TU,387.8103921474338,2.7625,0,58.575,0,0.060240963855422006,13.925,10.167374962568,15.87916546113218,5238.4,40.593200433195896,43.2375,-9.2375,2016.421686747,727
Laguna,16_46,LP,389.3580881111111,0,1.2352941176471,50,0,7.8235294117647,13,12.385999933879,15.792970222222221,5415,40.79439877777778,50,21.066666666667,1317.9411764706,729
