"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","-48.5462 (16.8706)","-2.8776","0.005"
"2","elev","-0.0073 (0.0013)","-5.5456","<0.001"
"3","FR_MATDE","0.9570 (0.0450)","21.2517","<0.001"
"4","TP_RSH_V","8.0258 (1.2103)","6.6311","<0.001"
"5","HIDRO_ITH","-4.3652 (0.5413)","-8.0645","<0.001"
"6","TP_RSD_P","0.0021 (0.0008)","2.6954","0.008"
"7","TP_EXPO","-0.0884 (0.0174)","-5.0847","<0.001"
"8","DegreeFreedom","149","",""
"9","AIC","1037","",""
"10","BIC","1062","",""
"11","DevianceExplained","0.832","",""
