transecto,nombre_cientifico,y2012,y2013,y2014,y2015,y2016,y2017,y2019,y2020,y2018,longitud,min_altitu,max_altitu,id_transecto,site,elev,contactos,n_years_contacted
Altas cumbres,"Aglais urticae (Linnaeus, 1758)",84,90,63,27,26,63,18,43,0,3209,3081,3170,16_15,AC,3126,414,8
Altas cumbres,"Argynnis pandora ([Denis & Schiffermüller], 1775)",0,0,0,0,0,4,0,0,0,3209,3081,3170,16_15,AC,3126,4,1
Altas cumbres,"Aricia morronensis (Ribbe, 1910)",0,0,0,0,2,0,0,0,0,3209,3081,3170,16_15,AC,3126,2,1
Altas cumbres,"Colias alfacariensis Ribbe, 1905",0,0,0,0,0,2,1,0,0,3209,3081,3170,16_15,AC,3126,3,2
Altas cumbres,"Colias crocea (Geoffroy, 1785)",2,3,3,2,4,20,9,6,0,3209,3081,3170,16_15,AC,3126,49,8
Altas cumbres,"Erebia hispania Butler, 1868",3,1,1,2,1,2,0,0,0,3209,3081,3170,16_15,AC,3126,10,6
Altas cumbres,"Gonepteryx cleopatra (Linnaeus, 1767)",0,0,0,0,0,1,0,0,0,3209,3081,3170,16_15,AC,3126,1,1
Altas cumbres,"Issoria lathonia (Linnaeus, 1758)",3,0,1,0,4,10,4,7,0,3209,3081,3170,16_15,AC,3126,29,6
Altas cumbres,"Lampides boeticus (Linnaeus, 1767)",1,0,0,0,0,0,0,0,0,3209,3081,3170,16_15,AC,3126,1,1
Altas cumbres,"Lasiommata megera (Linnaeus, 1767)",0,0,1,1,0,2,0,10,0,3209,3081,3170,16_15,AC,3126,14,4
Altas cumbres,"Lycaena phlaeas (Linnaeus, 1760)",0,0,0,0,0,1,0,0,0,3209,3081,3170,16_15,AC,3126,1,1
Altas cumbres,"Parnassius apollo (Linnaeus, 1758)",0,0,1,0,0,0,0,0,0,3209,3081,3170,16_15,AC,3126,1,1
Altas cumbres,"Pieris rapae (Linnaeus, 1758)",0,1,0,0,0,0,0,4,0,3209,3081,3170,16_15,AC,3126,5,2
Altas cumbres,"Pontia daplidice (Linnaeus, 1758)",0,0,0,0,0,22,1,1,0,3209,3081,3170,16_15,AC,3126,24,3
Altas cumbres,"Satyrus actaea (Esper, 1781)",8,0,1,2,8,1,0,6,0,3209,3081,3170,16_15,AC,3126,26,6
Altas cumbres,"Vanessa cardui (Linnaeus, 1758)",0,0,0,3,7,3,53,1,0,3209,3081,3170,16_15,AC,3126,67,5
Barranco de San Juan,"Aglais urticae (Linnaeus, 1758)",19,15,2,2,0,0,1,9,0,453,1347,1377,16_33,BSJ,1362,48,6
Barranco de San Juan,"Anthocharis cardamines (Linnaeus, 1758)",0,3,0,2,1,0,3,1,0,453,1347,1377,16_33,BSJ,1362,10,5
Barranco de San Juan,"Anthocharis euphenoides Staudinger, 1869",1,0,0,0,2,0,1,2,0,453,1347,1377,16_33,BSJ,1362,6,4
